Age,Efectiveness,Group,AttentionCheck,TimeMainQuestion,Transparency,Trust,Satisfaction,__source_file,SustainabilityAwareness/Effectiveness,Pair,Response ID,GenderIdentification,SpecificAge,SustainabilityInclination/Influence,Choice,Last page,Scrutability,Efficiency,Persuadiveness,SustainableChoice,SustainabilityImportance
35 – 44 years old,Agree,ExternalInformation,Yes,23.64,Agree,Agree,Agree,results-survey921.csv,Agree,BPair_2,8,Male,139.0,Neutral,Backpack A,6.0,Agree,Neutral,Agree,Yes,Agree
35 – 44 years old,Neutral,ExternalInformation,Yes,28.73,Neutral,Neutral,Neutral,results-survey921.csv,Neutral,BPair_2,9,Male,139.0,Neutral,Backpack A,6.0,Neutral,Neutral,Neutral,Yes,Neutral
25 – 34 years old,Neutral,ExternalInformation,Yes,41.84,Agree,Neutral,Neutral,results-survey921.csv,Strongly Disagree,BPair_2,10,Male,127.0,Strongly Disagree,Backpack A,6.0,Neutral,Disagree,Disagree,Yes,Neutral
18 – 24 years old,Agree,ExternalInformation,Yes,101.15,Agree,Agree,Agree,results-survey921.csv,Disagree,BPair_2,11,Male,124.0,Strongly Disagree,Backpack B,6.0,Agree,Agree,Agree,No,Disagree
35 – 44 years old,Agree,ExternalInformation,Yes,157.51,Agree,Agree,Agree,results-survey921.csv,Agree,BPair_2,12,Male,142.0,Agree,Backpack A,6.0,Agree,Agree,Agree,Yes,Agree
35 – 44 years old,Disagree,ExternalInformation,Yes,386.36,Strongly Agree,Strongly Agree,Agree,results-survey922.csv,Agree,BPair_2,8,Female,137.0,Agree,Backpack B,6.0,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Strongly Agree
25 – 34 years old,Strongly Disagree,ExternalInformation,Yes,134.76,Agree,Disagree,Disagree,results-survey922.csv,Strongly Agree,BPair_2,9,Female,134.0,Strongly Agree,Backpack B,6.0,Disagree,Strongly Agree,Strongly Disagree,Yes,Neutral
25 – 34 years old,Strongly Agree,ExternalInformation,Yes,165.87,Strongly Agree,Strongly Agree,Strongly Agree,results-survey922.csv,Strongly Agree,BPair_2,10,Female,127.0,Strongly Agree,Backpack B,6.0,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Strongly Agree
65 – 74 years old,Strongly Agree,ExternalInformation,Yes,182.59,Disagree,Agree,Agree,results-survey922.csv,Agree,BPair_2,11,Female,170.0,Strongly Agree,Backpack B,6.0,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Agree
25 – 34 years old,Disagree,ExternalInformation,Yes,140.77,Strongly Agree,Agree,Neutral,results-survey922.csv,Agree,BPair_2,12,Male,126.0,Neutral,Backpack B,6.0,Agree,Disagree,Disagree,Yes,Strongly Agree
18 – 24 years old,Neutral,ExternalInformation,Yes,32.34,Strongly Agree,Agree,Agree,results-survey932.csv,Strongly Agree,BPair_3,9,Other,124.0,Agree,Backpack B,6.0,Agree,Agree,Agree,Yes,Strongly Agree
35 – 44 years old,Disagree,ExternalInformation,Yes,110.33,Neutral,Neutral,Neutral,results-survey932.csv,Neutral,BPair_3,10,Male,136.0,Agree,Backpack B,6.0,Neutral,Disagree,Neutral,Yes,Disagree
55 – 64 years old,Agree,ExternalInformation,Yes,354.47,Agree,Strongly Agree,Neutral,results-survey932.csv,Strongly Agree,BPair_3,11,Male,156.0,Neutral,Backpack B,6.0,Neutral,Agree,Neutral,Yes,Neutral
25 – 34 years old,Agree,ExternalInformation,Yes,78.17,Agree,Agree,Agree,results-survey932.csv,Agree,BPair_3,13,Female,134.0,Agree,Backpack B,6.0,Agree,Agree,Neutral,Yes,Neutral
45 – 54 years old,Strongly Agree,ExternalInformation,Yes,120.18,Strongly Agree,Agree,Strongly Agree,results-survey932.csv,Strongly Agree,BPair_3,15,Male,153.0,Strongly Agree,Backpack B,6.0,Strongly Agree,Strongly Agree,Agree,Yes,Strongly Agree
35 – 44 years old,Strongly Agree,ExternalInformation,Yes,135.12,Agree,Neutral,Strongly Agree,results-survey931.csv,Strongly Agree,BPair_3,9,Male,137.0,Strongly Agree,Backpack A,6.0,Agree,Agree,Strongly Agree,Yes,Strongly Agree
25 – 34 years old,Neutral,ExternalInformation,Yes,98.74,Agree,Neutral,Neutral,results-survey931.csv,Agree,BPair_3,10,Male,133.0,Neutral,Backpack A,6.0,Neutral,Agree,Agree,Yes,Neutral
35 – 44 years old,Agree,ExternalInformation,Yes,119.9,Strongly Agree,Neutral,Strongly Disagree,results-survey931.csv,Disagree,BPair_3,11,Female,142.0,Disagree,Backpack A,6.0,Neutral,Disagree,Neutral,Yes,Neutral
45 – 54 years old,Strongly Agree,ExternalInformation,Yes,55.68,Agree,Agree,Agree,results-survey931.csv,Agree,BPair_3,12,Female,148.0,Agree,Backpack A,6.0,Agree,Agree,Agree,Yes,Strongly Agree
45 – 54 years old,Disagree,ExternalInformation,Yes,406.48,Agree,Agree,Agree,results-survey931.csv,Strongly Agree,BPair_3,13,Male,149.0,Strongly Agree,Backpack B,6.0,Disagree,Strongly Agree,Agree,No,Strongly Agree
25 – 34 years old,Disagree,ExternalInformation,Yes,99.31,Agree,Strongly Disagree,Strongly Agree,results-survey912.csv,Agree,BPair_1,8,Male,132.0,Agree,Backpack B,6.0,Strongly Disagree,Strongly Agree,Agree,Yes,Agree
25 – 34 years old,Neutral,ExternalInformation,Yes,109.24,Agree,Agree,Neutral,results-survey912.csv,Agree,BPair_1,9,Male,130.0,Strongly Agree,Backpack B,6.0,Agree,Neutral,Neutral,Yes,Strongly Agree
25 – 34 years old,Neutral,ExternalInformation,Yes,62.41,Strongly Agree,Agree,Agree,results-survey912.csv,Agree,BPair_1,10,Male,132.0,Strongly Agree,Backpack B,6.0,Agree,Agree,Agree,Yes,Agree
45 – 54 years old,Agree,ExternalInformation,Yes,25.21,Agree,Agree,Agree,results-survey912.csv,Agree,BPair_1,11,Male,146.0,Agree,Backpack B,6.0,Agree,Disagree,Agree,Yes,Agree
35 – 44 years old,Strongly Agree,ExternalInformation,Yes,18.04,Agree,Strongly Agree,Agree,results-survey912.csv,Agree,BPair_1,12,Male,137.0,Agree,Backpack B,6.0,Agree,Agree,Agree,Yes,Agree
35 – 44 years old,Agree,ExternalInformation,Yes,115.71,Agree,Neutral,Agree,results-survey911.csv,Agree,BPair_1,8,Male,141.0,Agree,Backpack A,6.0,Agree,Agree,Agree,Yes,Agree
55 – 64 years old,Neutral,ExternalInformation,Yes,53.54,Agree,Neutral,Agree,results-survey911.csv,Strongly Agree,BPair_1,9,Female,164.0,Agree,Backpack B,6.0,Agree,Neutral,Agree,No,Agree
25 – 34 years old,Disagree,ExternalInformation,Yes,57.81,Agree,Neutral,Neutral,results-survey911.csv,Disagree,BPair_1,10,Female,131.0,Strongly Disagree,Backpack A,6.0,Neutral,Strongly Disagree,Strongly Disagree,Yes,Neutral
45 – 54 years old,Agree,ExternalInformation,Yes,14.14,Strongly Agree,Neutral,Strongly Agree,results-survey911.csv,Agree,BPair_1,11,Male,153.0,Agree,Backpack B,6.0,Agree,Strongly Agree,Agree,No,Strongly Agree
35 – 44 years old,Agree,ExternalInformation,Yes,107.73,Agree,Agree,Agree,results-survey911.csv,Agree,BPair_1,12,Female,144.0,Agree,Backpack A,6.0,Agree,Agree,Agree,Yes,Agree
35 – 44 years old,Agree,Framing,Yes,57.68,Agree,Neutral,Neutral,results-survey721.csv,Agree,BPair_2,8,Female,144.0,Disagree,Backpack B,6.0,Strongly Agree,Disagree,Disagree,No,Neutral
35 – 44 years old,Agree,Framing,Yes,319.76,Strongly Disagree,Disagree,Disagree,results-survey721.csv,Disagree,BPair_2,9,Male,138.0,Agree,Backpack A,6.0,Neutral,Neutral,Agree,Yes,Agree
25 – 34 years old,Strongly Agree,Framing,Yes,95.25,Strongly Agree,Agree,Strongly Agree,results-survey721.csv,Strongly Agree,BPair_2,10,Female,134.0,Strongly Agree,Backpack A,6.0,Strongly Agree,Agree,Strongly Agree,Yes,Strongly Agree
18 – 24 years old,Strongly Agree,Framing,Yes,32.06,Strongly Agree,Strongly Agree,Strongly Agree,results-survey721.csv,Strongly Agree,BPair_2,11,Female,121.0,Strongly Agree,Backpack A,6.0,Strongly Agree,Agree,Strongly Agree,Yes,Strongly Agree
35 – 44 years old,Agree,Framing,Yes,148.68,Agree,Agree,Strongly Agree,results-survey721.csv,Agree,BPair_2,12,Male,142.0,Agree,Backpack A,6.0,Strongly Agree,Agree,Agree,Yes,Agree
55 – 64 years old,Agree,Framing,Yes,59.5,Agree,Agree,Agree,results-survey722.csv,Agree,BPair_2,8,Female,156.0,Agree,Backpack B,6.0,Agree,Agree,Agree,Yes,Agree
45 – 54 years old,Agree,Framing,Yes,31.46,Agree,Agree,Agree,results-survey722.csv,Agree,BPair_2,9,Male,149.0,Agree,Backpack B,6.0,Agree,Agree,Agree,Yes,Agree
25 – 34 years old,Agree,Framing,Yes,126.73,Strongly Agree,Strongly Agree,Agree,results-survey722.csv,Agree,BPair_2,10,Male,130.0,Agree,Backpack B,6.0,Agree,Strongly Agree,Agree,Yes,Agree
35 – 44 years old,Agree,Framing,Yes,30.49,Agree,Neutral,Agree,results-survey722.csv,Agree,BPair_2,11,Female,143.0,Agree,Backpack A,6.0,Agree,Neutral,Agree,No,Strongly Agree
25 – 34 years old,Agree,Framing,Yes,111.46,Agree,Neutral,Neutral,results-survey722.csv,Agree,BPair_2,12,Female,131.0,Agree,Backpack B,6.0,Agree,Strongly Agree,Agree,Yes,Strongly Agree
45 – 54 years old,Disagree,Framing,Yes,155.47,Agree,Disagree,Disagree,results-survey732.csv,Disagree,BPair_3,9,Female,151.0,Strongly Disagree,Backpack B,6.0,Neutral,Disagree,Disagree,Yes,Neutral
55 – 64 years old,Agree,Framing,Yes,295.28,Agree,Neutral,Agree,results-survey732.csv,Agree,BPair_3,11,Female,159.0,Agree,Backpack B,6.0,Agree,Agree,Agree,Yes,Agree
25 – 34 years old,Strongly Agree,Framing,Yes,171.94,Strongly Agree,Strongly Agree,Strongly Agree,results-survey732.csv,Strongly Agree,BPair_3,12,Male,133.0,Strongly Agree,Backpack B,6.0,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Strongly Agree
25 – 34 years old,Neutral,Framing,Yes,131.53,Agree,Agree,Neutral,results-survey732.csv,Strongly Agree,BPair_3,13,Male,125.0,Strongly Agree,Backpack A,6.0,Neutral,Neutral,Neutral,No,Strongly Agree
25 – 34 years old,Agree,Framing,Yes,31.39,Agree,Agree,Neutral,results-survey732.csv,Strongly Agree,BPair_3,14,Male,128.0,Strongly Agree,Backpack B,6.0,Neutral,Agree,Strongly Agree,Yes,Neutral
35 – 44 years old,Agree,Framing,Yes,259.19,Agree,Neutral,Neutral,results-survey731.csv,Neutral,BPair_3,9,Female,135.0,Agree,Backpack A,6.0,Agree,Agree,Agree,Yes,Agree
18 – 24 years old,Strongly Disagree,Framing,Yes,35.1,Neutral,Disagree,Disagree,results-survey731.csv,Neutral,BPair_3,10,Male,118.0,Disagree,Backpack B,6.0,Disagree,Disagree,Disagree,No,Agree
55 – 64 years old,Agree,Framing,Yes,76.47,Agree,Agree,Agree,results-survey731.csv,Agree,BPair_3,12,Female,155.0,Agree,Backpack B,6.0,Agree,Agree,Agree,No,Agree
25 – 34 years old,Strongly Disagree,Framing,Yes,76.01,Agree,Neutral,Neutral,results-survey731.csv,Neutral,BPair_3,13,Male,131.0,Neutral,Backpack A,6.0,Neutral,Agree,Neutral,Yes,Agree
25 – 34 years old,Strongly Agree,Framing,Yes,49.0,Strongly Agree,Strongly Agree,Strongly Agree,results-survey731.csv,Strongly Agree,BPair_3,14,Female,125.0,Strongly Agree,Backpack A,6.0,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Strongly Agree
25 – 34 years old,Agree,Framing,Yes,20.92,Neutral,Agree,Agree,results-survey712.csv,Agree,BPair_1,8,Female,126.0,Neutral,Backpack B,6.0,Neutral,Agree,Agree,Yes,Agree
45 – 54 years old,Neutral,Framing,Yes,48.24,Agree,Neutral,Agree,results-survey712.csv,Agree,BPair_1,9,Female,151.0,Neutral,Backpack B,6.0,Strongly Agree,Agree,Agree,Yes,Agree
55 – 64 years old,Agree,Framing,Yes,86.45,Neutral,Neutral,Agree,results-survey712.csv,Agree,BPair_1,10,Female,161.0,Strongly Agree,Backpack B,6.0,Agree,Agree,Strongly Agree,Yes,Agree
35 – 44 years old,Agree,Framing,Yes,125.09,Neutral,Disagree,Strongly Agree,results-survey712.csv,Neutral,BPair_1,12,Male,135.0,Agree,Backpack A,6.0,Neutral,Disagree,Agree,No,Agree
35 – 44 years old,Strongly Agree,Framing,Yes,134.11,Strongly Agree,Strongly Agree,Strongly Agree,results-survey712.csv,Strongly Agree,BPair_1,13,Female,137.0,Strongly Agree,Backpack B,6.0,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Strongly Agree
55 – 64 years old,Strongly Agree,Framing,Yes,26.81,Agree,Neutral,Agree,results-survey711.csv,Neutral,BPair_1,8,Female,137.0,Agree,Backpack B,6.0,Agree,Neutral,Agree,No,Agree
18 – 24 years old,Disagree,Framing,Yes,49.3,Agree,Neutral,Neutral,results-survey711.csv,Neutral,BPair_1,10,Male,119.0,Disagree,Backpack B,6.0,Neutral,Disagree,Disagree,No,Disagree
25 – 34 years old,Strongly Agree,Framing,Yes,96.15,Agree,Agree,Agree,results-survey711.csv,Agree,BPair_1,11,Male,132.0,Neutral,Backpack A,6.0,Strongly Agree,Agree,Agree,Yes,Agree
25 – 34 years old,Agree,Framing,Yes,201.35,Agree,Strongly Agree,Strongly Agree,results-survey711.csv,Strongly Agree,BPair_1,12,Female,131.0,Agree,Backpack A,6.0,Agree,Agree,Agree,Yes,Strongly Agree
35 – 44 years old,Agree,Framing,Yes,36.63,Agree,Agree,Agree,results-survey711.csv,Agree,BPair_1,14,Male,137.0,Agree,Backpack A,6.0,Agree,Agree,Agree,Yes,Agree
25 – 34 years old,Disagree,Salience,Yes,43.88,Strongly Agree,Strongly Agree,Agree,results-survey1022.csv,Strongly Agree,BPair_2,9,Female,125.0,Agree,Backpack B,6.0,Strongly Agree,Agree,Strongly Agree,Yes,Strongly Agree
45 – 54 years old,Strongly Disagree,Salience,Yes,69.54,Strongly Disagree,Agree,Strongly Disagree,results-survey1022.csv,Strongly Disagree,BPair_2,10,Female,149.0,Strongly Disagree,Backpack B,6.0,Strongly Disagree,Strongly Disagree,Strongly Disagree,Yes,Strongly Disagree
35 – 44 years old,Agree,Salience,Yes,170.09,Agree,Neutral,Agree,results-survey1022.csv,Agree,BPair_2,11,Male,135.0,Agree,Backpack A,6.0,Agree,Agree,Neutral,No,Neutral
35 – 44 years old,Strongly Agree,Salience,Yes,30.43,Strongly Agree,Strongly Agree,Strongly Agree,results-survey1022.csv,Strongly Agree,BPair_2,12,Male,141.0,Strongly Agree,Backpack B,6.0,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Strongly Agree
35 – 44 years old,Strongly Disagree,Salience,Yes,29.0,Strongly Agree,Neutral,Neutral,results-survey1022.csv,Strongly Agree,BPair_2,13,Male,135.0,Strongly Disagree,Backpack A,6.0,Neutral,Strongly Disagree,Strongly Disagree,No,Agree
35 – 44 years old,Strongly Agree,Salience,Yes,11.1,Neutral,Agree,Agree,results-survey1021.csv,Strongly Agree,BPair_2,8,Female,137.0,Strongly Agree,Backpack A,6.0,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Strongly Agree
45 – 54 years old,Strongly Agree,Salience,Yes,32.61,Strongly Agree,Strongly Agree,Strongly Agree,results-survey1021.csv,Strongly Agree,BPair_2,9,Female,152.0,Strongly Agree,Backpack A,6.0,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Strongly Agree
65 – 74 years old,Disagree,Salience,Yes,73.13,Neutral,Disagree,Disagree,results-survey1021.csv,Agree,BPair_2,10,Female,172.0,Agree,Backpack A,6.0,Neutral,Disagree,Disagree,Yes,Neutral
35 – 44 years old,Neutral,Salience,Yes,34.21,Neutral,Neutral,Neutral,results-survey1021.csv,Neutral,BPair_2,11,Female,142.0,Neutral,Backpack B,6.0,Neutral,Neutral,Neutral,No,Neutral
55 – 64 years old,Agree,Salience,Yes,49.37,Agree,Agree,Agree,results-survey1021.csv,Agree,BPair_2,12,Female,161.0,Agree,Backpack A,6.0,Strongly Agree,Agree,Agree,Yes,Strongly Agree
65 – 74 years old,Agree,Salience,Yes,124.13,Agree,Neutral,Agree,results-survey1031.csv,Agree,BPair_3,9,Male,167.0,Agree,Backpack B,6.0,Neutral,Agree,Agree,No,Strongly Agree
25 – 34 years old,Disagree,Salience,Yes,82.98,Agree,Disagree,Neutral,results-survey1031.csv,Agree,BPair_3,10,Male,133.0,Disagree,Backpack B,6.0,Agree,Neutral,Disagree,No,Agree
55 – 64 years old,Agree,Salience,Yes,130.83,Agree,Agree,Neutral,results-survey1031.csv,Agree,BPair_3,11,Female,160.0,Strongly Agree,Backpack B,6.0,Strongly Agree,Agree,Neutral,No,Neutral
25 – 34 years old,Agree,Salience,Yes,98.01,Agree,Agree,Agree,results-survey1031.csv,Agree,BPair_3,12,Female,127.0,Agree,Backpack A,6.0,Agree,Agree,Agree,Yes,Agree
35 – 44 years old,Agree,Salience,Yes,39.3,Agree,Agree,Strongly Agree,results-survey1031.csv,Strongly Agree,BPair_3,14,Male,143.0,Agree,Backpack A,6.0,Strongly Agree,Neutral,Strongly Agree,Yes,Agree
45 – 54 years old,Strongly Agree,Salience,Yes,33.23,Agree,Strongly Agree,Strongly Agree,results-survey1032.csv,Agree,BPair_3,9,Female,154.0,Agree,Backpack A,6.0,Strongly Agree,Disagree,Strongly Agree,No,Agree
35 – 44 years old,Agree,Salience,Yes,126.64,Strongly Agree,Agree,Agree,results-survey1032.csv,Strongly Agree,BPair_3,10,Male,138.0,Agree,Backpack B,6.0,Agree,Agree,Agree,Yes,Agree
25 – 34 years old,Agree,Salience,Yes,174.16,Strongly Agree,Strongly Agree,Agree,results-survey1032.csv,Strongly Agree,BPair_3,11,Female,133.0,Strongly Agree,Backpack A,6.0,Strongly Agree,Disagree,Disagree,No,Agree
55 – 64 years old,Disagree,Salience,Yes,159.41,Agree,Disagree,Disagree,results-survey1032.csv,Neutral,BPair_3,12,Female,160.0,Neutral,Backpack A,6.0,Neutral,Disagree,Neutral,No,Agree
25 – 34 years old,Agree,Salience,Yes,141.94,Agree,Agree,Agree,results-survey1032.csv,Agree,BPair_3,13,Female,131.0,Agree,Backpack B,6.0,Agree,Agree,Agree,Yes,Agree
45 – 54 years old,Agree,Salience,Yes,85.08,Agree,Agree,Agree,results-survey1011.csv,Neutral,BPair_1,9,Female,148.0,Agree,Backpack B,6.0,Agree,Agree,Agree,No,Agree
45 – 54 years old,Agree,Salience,Yes,37.37,Strongly Agree,Neutral,Strongly Agree,results-survey1011.csv,Agree,BPair_1,10,Male,153.0,Strongly Agree,Backpack A,6.0,Agree,Strongly Agree,Strongly Agree,Yes,Strongly Agree
55 – 64 years old,Agree,Salience,Yes,154.94,Agree,Agree,Agree,results-survey1011.csv,Agree,BPair_1,11,Male,159.0,Agree,Backpack A,6.0,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Agree
65 – 74 years old,Disagree,Salience,Yes,43.38,Disagree,Disagree,Disagree,results-survey1011.csv,Disagree,BPair_1,13,Male,165.0,Disagree,Backpack B,6.0,Disagree,Disagree,Disagree,No,Neutral
55 – 64 years old,Strongly Agree,Salience,Yes,17.94,Strongly Agree,Strongly Agree,Strongly Agree,results-survey1011.csv,Strongly Agree,BPair_1,14,Male,159.0,Strongly Agree,Backpack A,6.0,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Strongly Agree
25 – 34 years old,Disagree,Salience,Yes,32.86,Agree,Neutral,Agree,results-survey1012.csv,Neutral,BPair_1,8,Male,127.0,Strongly Disagree,Backpack A,6.0,Neutral,Strongly Disagree,Strongly Disagree,No,Agree
45 – 54 years old,Neutral,Salience,Yes,34.82,Agree,Neutral,Strongly Agree,results-survey1012.csv,Agree,BPair_1,10,Female,152.0,Neutral,Backpack B,6.0,Neutral,Neutral,Neutral,Yes,Agree
25 – 34 years old,Strongly Agree,Salience,Yes,43.52,Strongly Agree,Strongly Agree,Strongly Agree,results-survey1012.csv,Strongly Agree,BPair_1,11,Female,132.0,Strongly Agree,Backpack B,6.0,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Strongly Agree
45 – 54 years old,Strongly Agree,Salience,Yes,63.07,Strongly Agree,Strongly Agree,Strongly Agree,results-survey1012.csv,Strongly Agree,BPair_1,12,Female,149.0,Agree,Backpack B,6.0,Strongly Agree,Agree,Strongly Agree,Yes,Strongly Agree
45 – 54 years old,Agree,Salience,Yes,16.99,Agree,Neutral,Neutral,results-survey1012.csv,Disagree,BPair_1,14,Male,147.0,Neutral,Backpack A,6.0,Agree,Disagree,Agree,No,Agree
18 – 24 years old,Agree,Simplification,Yes,97.04,Agree,Neutral,Neutral,results-survey822.csv,Neutral,BPair_2,8,Male,121.0,Agree,Backpack B,6.0,Neutral,Agree,Neutral,Yes,Neutral
35 – 44 years old,Strongly Disagree,Simplification,Yes,85.02,Agree,Disagree,Disagree,results-survey822.csv,Agree,BPair_2,9,Male,138.0,Disagree,Backpack A,6.0,Disagree,Strongly Disagree,Strongly Disagree,No,Neutral
25 – 34 years old,Strongly Agree,Simplification,Yes,151.56,Strongly Agree,Strongly Agree,Strongly Agree,results-survey822.csv,Strongly Agree,BPair_2,10,Female,131.0,Strongly Agree,Backpack B,6.0,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Strongly Agree
25 – 34 years old,Strongly Agree,Simplification,Yes,78.59,Agree,Agree,Agree,results-survey822.csv,Agree,BPair_2,11,Male,134.0,Strongly Agree,Backpack B,6.0,Strongly Agree,Neutral,Strongly Agree,Yes,Agree
35 – 44 years old,Agree,Simplification,Yes,82.89,Agree,Neutral,Neutral,results-survey822.csv,Agree,BPair_2,12,Male,143.0,Disagree,Backpack A,6.0,Agree,Neutral,Disagree,No,Neutral
35 – 44 years old,Strongly Disagree,Simplification,Yes,48.28,Strongly Agree,Disagree,Neutral,results-survey821.csv,Neutral,BPair_2,8,Male,136.0,Strongly Disagree,Backpack A,6.0,Agree,Strongly Disagree,Strongly Agree,Yes,Disagree
25 – 34 years old,Agree,Simplification,Yes,110.11,Agree,Neutral,Strongly Agree,results-survey821.csv,Neutral,BPair_2,9,Male,134.0,Agree,Backpack A,6.0,Agree,Neutral,Strongly Agree,Yes,Agree
45 – 54 years old,Disagree,Simplification,Yes,120.06,Agree,Disagree,Disagree,results-survey821.csv,Disagree,BPair_2,10,Female,149.0,Strongly Disagree,Backpack A,6.0,Neutral,Strongly Disagree,Disagree,Yes,Neutral
25 – 34 years old,Strongly Agree,Simplification,Yes,39.02,Strongly Agree,Strongly Agree,Strongly Agree,results-survey821.csv,Strongly Agree,BPair_2,11,Male,133.0,Strongly Agree,Backpack A,6.0,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Strongly Agree
45 – 54 years old,Neutral,Simplification,Yes,50.81,Strongly Agree,Strongly Agree,Disagree,results-survey821.csv,Disagree,BPair_2,12,Male,149.0,Neutral,Backpack B,6.0,Strongly Agree,Neutral,Disagree,No,Agree
25 – 34 years old,Disagree,Simplification,Yes,55.89,Agree,Neutral,Disagree,results-survey831.csv,Neutral,BPair_3,9,Female,127.0,Disagree,Backpack B,6.0,Disagree,Disagree,Disagree,No,Neutral
45 – 54 years old,Agree,Simplification,Yes,131.59,Agree,Agree,Agree,results-survey831.csv,Strongly Agree,BPair_3,11,Female,149.0,Strongly Agree,Backpack A,6.0,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Strongly Agree
25 – 34 years old,Neutral,Simplification,Yes,162.0,Agree,Neutral,Disagree,results-survey831.csv,Agree,BPair_3,12,Female,134.0,Neutral,Backpack B,6.0,Agree,Neutral,Strongly Agree,No,Agree
25 – 34 years old,Neutral,Simplification,Yes,189.01,Strongly Agree,Strongly Agree,Strongly Agree,results-survey831.csv,Strongly Agree,BPair_3,13,Male,127.0,Strongly Agree,Backpack A,6.0,Neutral,Strongly Agree,Strongly Agree,Yes,Strongly Agree
45 – 54 years old,Agree,Simplification,Yes,276.59,Agree,Agree,Agree,results-survey831.csv,Neutral,BPair_3,14,Male,152.0,Disagree,Backpack B,6.0,Agree,Neutral,Neutral,No,Agree
25 – 34 years old,Agree,Simplification,Yes,26.16,Agree,Agree,Agree,results-survey832.csv,Agree,BPair_3,9,Male,131.0,Agree,Backpack B,6.0,Agree,Strongly Agree,Agree,Yes,Strongly Agree
25 – 34 years old,Strongly Agree,Simplification,Yes,55.56,Agree,Agree,Agree,results-survey832.csv,Agree,BPair_3,10,Male,126.0,Agree,Backpack A,6.0,Agree,Agree,Agree,No,Strongly Agree
18 – 24 years old,Strongly Agree,Simplification,Yes,104.82,Strongly Agree,Agree,Strongly Agree,results-survey832.csv,Strongly Agree,BPair_3,11,Male,122.0,Agree,Backpack B,6.0,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Strongly Agree
25 – 34 years old,Agree,Simplification,Yes,108.69,Agree,Disagree,Neutral,results-survey832.csv,Agree,BPair_3,13,Female,127.0,Neutral,Backpack B,6.0,Agree,Disagree,Neutral,Yes,Neutral
55 – 64 years old,Agree,Simplification,Yes,125.26,Neutral,Agree,Disagree,results-survey832.csv,Agree,BPair_3,15,Male,164.0,Disagree,Backpack A,6.0,Strongly Agree,Strongly Agree,Agree,No,Agree
65 – 74 years old,Agree,Simplification,Yes,22.75,Agree,Agree,Agree,results-survey811.csv,Agree,BPair_1,8,Female,172.0,Agree,Backpack A,6.0,Agree,Agree,Agree,Yes,Agree
35 – 44 years old,Strongly Agree,Simplification,Yes,78.83,Agree,Neutral,Agree,results-survey811.csv,Disagree,BPair_1,9,Male,142.0,Disagree,Backpack B,6.0,Agree,Agree,Neutral,No,Neutral
45 – 54 years old,Disagree,Simplification,Yes,63.64,Agree,Agree,Strongly Agree,results-survey811.csv,Strongly Agree,BPair_1,10,Female,154.0,Strongly Agree,Backpack A,6.0,Neutral,Strongly Agree,Strongly Agree,Yes,Agree
25 – 34 years old,Strongly Agree,Simplification,Yes,51.7,Strongly Agree,Strongly Agree,Neutral,results-survey811.csv,Disagree,BPair_1,11,Female,131.0,Strongly Agree,Backpack A,6.0,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Strongly Agree
65 – 74 years old,Agree,Simplification,Yes,195.63,Strongly Agree,Agree,Agree,results-survey811.csv,Agree,BPair_1,12,Female,165.0,Strongly Agree,Backpack A,6.0,Agree,Agree,Strongly Agree,Yes,Strongly Agree
65 – 74 years old,Agree,Simplification,Yes,49.03,Strongly Agree,Strongly Agree,Strongly Agree,results-survey812.csv,Strongly Agree,BPair_1,8,Female,171.0,Strongly Agree,Backpack B,6.0,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Strongly Agree
25 – 34 years old,Agree,Simplification,Yes,25.62,Agree,Disagree,Neutral,results-survey812.csv,Neutral,BPair_1,9,Male,127.0,Neutral,Backpack B,6.0,Agree,Disagree,Strongly Agree,Yes,Neutral
35 – 44 years old,Neutral,Simplification,Yes,20.19,Agree,Neutral,Neutral,results-survey812.csv,Agree,BPair_1,10,Female,140.0,Agree,Backpack B,6.0,Agree,Agree,Agree,Yes,Neutral
25 – 34 years old,Agree,Simplification,Yes,23.48,Agree,Neutral,Neutral,results-survey812.csv,Neutral,BPair_1,11,Male,131.0,Disagree,Backpack B,6.0,Neutral,Disagree,Agree,Yes,Neutral
55 – 64 years old,Disagree,Simplification,Yes,249.32,Neutral,Disagree,Neutral,results-survey812.csv,Neutral,BPair_1,12,Female,160.0,Disagree,Backpack A,6.0,Disagree,Neutral,Strongly Disagree,No,Disagree
