SpecificAge,__source_file,TimeMainQuestion,Choice,Age,GenderIdentification,SustainabilityImportance,Group,SustainableChoice,Efficiency,SustainabilityAwareness/Effectiveness,AttentionCheck,SustainabilityInclination/Influence,Response ID,Efectiveness,Satisfaction,Scrutability,Last page,Trust,Persuadiveness,Transparency
147.0,results-survey522.csv,120.08,Hotel B,45 – 54 years old,Female,Agree,Salience,Yes,Neutral,Agree,Yes,Strongly Agree,4,Neutral,Neutral,Disagree,6.0,Neutral,Neutral,Strongly Agree
172.0,results-survey522.csv,69.11,Hotel B,65 – 74 years old,Female,Strongly Agree,Salience,Yes,Agree,Agree,Yes,Strongly Agree,5,Agree,Agree,Strongly Agree,6.0,Agree,Agree,Agree
136.0,results-survey522.csv,7.68,Hotel A,35 – 44 years old,Male,Agree,Salience,No,Agree,Neutral,Yes,Agree,7,Agree,Neutral,Agree,6.0,Neutral,Neutral,Neutral
126.0,results-survey522.csv,46.74,Hotel A,25 – 34 years old,Female,Disagree,Salience,No,Agree,Disagree,Yes,Disagree,9,Neutral,Strongly Disagree,Disagree,6.0,Disagree,Agree,Agree
130.0,results-survey522.csv,24.48,Hotel A,25 – 34 years old,Female,Neutral,Salience,No,Disagree,Agree,Yes,Disagree,10,Neutral,Neutral,Disagree,6.0,Disagree,Disagree,Agree
125.0,results-survey521.csv,103.49,Hotel B,25 – 34 years old,Female,Strongly Agree,Salience,No,Strongly Agree,Strongly Agree,Yes,Strongly Agree,4,Strongly Agree,Strongly Agree,Strongly Agree,6.0,Strongly Agree,Strongly Agree,Strongly Agree
123.0,results-survey521.csv,41.08,Hotel B,18 – 24 years old,Male,Disagree,Salience,No,Neutral,Neutral,Yes,Agree,5,Disagree,Neutral,Strongly Agree,6.0,Neutral,Disagree,Agree
140.0,results-survey521.csv,84.89,Hotel A,35 – 44 years old,Female,Agree,Salience,Yes,Disagree,Disagree,Yes,Disagree,6,Strongly Disagree,Neutral,Strongly Disagree,6.0,Neutral,Neutral,Strongly Agree
120.0,results-survey521.csv,17.61,Hotel A,18 – 24 years old,Male,Disagree,Salience,Yes,Neutral,Neutral,Yes,Agree,7,Neutral,Agree,Strongly Agree,6.0,Neutral,Neutral,Agree
145.0,results-survey521.csv,231.28,Hotel B,45 – 54 years old,Male,Strongly Agree,Salience,No,Agree,Agree,Yes,Agree,8,Agree,Agree,Agree,6.0,Agree,Strongly Agree,Agree
121.0,results-survey531.csv,9.05,Hotel A,18 – 24 years old,Female,Strongly Agree,Salience,Yes,Agree,Agree,Yes,Neutral,4,Agree,Agree,Strongly Agree,6.0,Agree,Neutral,Neutral
147.0,results-survey531.csv,37.72,Hotel B,45 – 54 years old,Female,Agree,Salience,No,Strongly Agree,Agree,Yes,Neutral,5,Neutral,Agree,Agree,6.0,Neutral,Agree,Agree
124.0,results-survey531.csv,63.41,Hotel A,18 – 24 years old,Male,Strongly Agree,Salience,Yes,Strongly Agree,Agree,Yes,Strongly Agree,6,Strongly Agree,Strongly Agree,Strongly Agree,6.0,Strongly Agree,Strongly Agree,Strongly Agree
140.0,results-survey531.csv,317.55,Hotel B,35 – 44 years old,Male,Agree,Salience,No,Strongly Agree,Agree,Yes,Strongly Agree,7,Agree,Agree,Strongly Agree,6.0,Agree,Strongly Agree,Agree
131.0,results-survey531.csv,523.11,Hotel A,25 – 34 years old,Male,Strongly Agree,Salience,Yes,Agree,Agree,Yes,Agree,9,Agree,Agree,Agree,6.0,Agree,Agree,Strongly Agree
143.0,results-survey532.csv,153.37,Hotel B,35 – 44 years old,Male,Strongly Disagree,Salience,Yes,Neutral,Neutral,Yes,Disagree,5,Neutral,Agree,Neutral,6.0,Agree,Agree,Agree
123.0,results-survey532.csv,68.9,Hotel A,18 – 24 years old,Male,Neutral,Salience,No,Agree,Strongly Agree,Yes,Strongly Agree,7,Agree,Agree,Agree,6.0,Agree,Agree,Agree
127.0,results-survey532.csv,143.19,Hotel B,25 – 34 years old,Female,Strongly Agree,Salience,Yes,Strongly Agree,Strongly Agree,Yes,Strongly Agree,8,Agree,Agree,Agree,6.0,Agree,Agree,Agree
125.0,results-survey532.csv,46.12,Hotel B,25 – 34 years old,Female,Neutral,Salience,Yes,Agree,Strongly Disagree,Yes,Disagree,9,Strongly Agree,Agree,Strongly Agree,6.0,Agree,Strongly Agree,Agree
125.0,results-survey532.csv,68.04,Hotel B,25 – 34 years old,Female,Agree,Salience,Yes,Strongly Agree,Agree,Yes,Agree,10,Strongly Agree,Agree,Agree,6.0,Agree,Agree,Agree
124.0,results-survey511.csv,29.59,Hotel A,18 – 24 years old,Female,Agree,Salience,Yes,Agree,Agree,Yes,Neutral,5,Neutral,Agree,Neutral,6.0,Agree,Agree,Agree
126.0,results-survey511.csv,28.42,Hotel B,25 – 34 years old,Male,Strongly Disagree,Salience,No,Strongly Disagree,Strongly Disagree,Yes,Strongly Disagree,6,Strongly Disagree,Strongly Disagree,Strongly Disagree,6.0,Strongly Disagree,Strongly Disagree,Agree
155.0,results-survey511.csv,167.24,Hotel B,55 – 64 years old,Female,Disagree,Salience,No,Disagree,Disagree,Yes,Disagree,7,Disagree,Disagree,Disagree,6.0,Disagree,Disagree,Disagree
128.0,results-survey511.csv,38.29,Hotel A,25 – 34 years old,Male,Agree,Salience,Yes,Disagree,Agree,Yes,Disagree,8,Agree,Disagree,Neutral,6.0,Neutral,Disagree,Strongly Agree
131.0,results-survey511.csv,149.58,Hotel A,25 – 34 years old,Male,Strongly Agree,Salience,Yes,Strongly Agree,Strongly Agree,Yes,Strongly Agree,9,Strongly Agree,Strongly Agree,Strongly Agree,6.0,Strongly Agree,Strongly Agree,Strongly Agree
129.0,results-survey512.csv,76.81,Hotel B,25 – 34 years old,Female,Neutral,Salience,Yes,Neutral,Strongly Agree,Yes,Agree,5,Agree,Agree,Agree,6.0,Neutral,Agree,Neutral
134.0,results-survey512.csv,38.88,Hotel A,25 – 34 years old,Male,Neutral,Salience,No,Strongly Agree,Agree,Yes,Agree,6,Strongly Agree,Neutral,Strongly Agree,6.0,Agree,Disagree,Strongly Agree
130.0,results-survey512.csv,171.17,Hotel B,25 – 34 years old,Male,Agree,Salience,Yes,Strongly Agree,Neutral,Yes,Agree,7,Agree,Strongly Agree,Agree,6.0,Agree,Agree,Disagree
151.0,results-survey512.csv,96.73,Hotel B,45 – 54 years old,Female,Neutral,Salience,Yes,Agree,Agree,Yes,Agree,9,Neutral,Neutral,Agree,6.0,Neutral,Agree,Agree
140.0,results-survey512.csv,78.18,Hotel B,35 – 44 years old,Female,Agree,Salience,Yes,Strongly Agree,Agree,Yes,Agree,10,Agree,Strongly Agree,Strongly Agree,6.0,Strongly Agree,Agree,Strongly Agree
130.0,results-survey221.csv,54.52,Hotel A,25 – 34 years old,Female,Agree,Framing,Yes,Agree,Agree,Yes,Agree,7,Strongly Agree,Agree,Strongly Agree,6.0,Agree,Agree,Agree
162.0,results-survey221.csv,25.68,Hotel B,55 – 64 years old,Female,Agree,Framing,No,Strongly Disagree,Agree,Yes,Disagree,8,Strongly Disagree,Neutral,Neutral,6.0,Neutral,Strongly Disagree,Strongly Disagree
139.0,results-survey221.csv,31.05,Hotel A,35 – 44 years old,Male,Strongly Agree,Framing,Yes,Strongly Agree,Agree,Yes,Strongly Agree,9,Strongly Agree,Strongly Agree,Strongly Agree,6.0,Agree,Strongly Agree,Agree
153.0,results-survey221.csv,94.59,Hotel B,45 – 54 years old,Male,Agree,Framing,No,Strongly Agree,Strongly Agree,Yes,Strongly Agree,10,Strongly Agree,Strongly Agree,Agree,6.0,Strongly Agree,Strongly Agree,Strongly Agree
127.0,results-survey221.csv,105.92,Hotel A,25 – 34 years old,Male,Neutral,Framing,Yes,Agree,Strongly Agree,Yes,Agree,11,Strongly Agree,Agree,Agree,6.0,Neutral,Agree,Agree
121.0,results-survey2220.csv,106.44,Hotel B,18 – 24 years old,Male,Agree,Framing,Yes,Agree,Agree,Yes,Agree,5,Agree,Agree,Agree,6.0,Agree,Agree,Agree
132.0,results-survey2220.csv,121.74,Hotel B,25 – 34 years old,Female,Neutral,Framing,Yes,Strongly Agree,Strongly Agree,Yes,Strongly Agree,6,Strongly Agree,Strongly Agree,Strongly Agree,6.0,Strongly Agree,Strongly Agree,Strongly Agree
151.0,results-survey2220.csv,32.97,Hotel B,45 – 54 years old,Female,Agree,Framing,Yes,Neutral,Agree,Yes,Agree,7,Agree,Agree,Agree,6.0,Agree,Agree,Neutral
125.0,results-survey2220.csv,64.7,Hotel B,25 – 34 years old,Female,Agree,Framing,Yes,Agree,Agree,Yes,Strongly Agree,8,Agree,Neutral,Agree,6.0,Agree,Agree,Strongly Agree
163.0,results-survey2220.csv,81.73,Hotel B,55 – 64 years old,Male,Agree,Framing,Yes,Neutral,Neutral,Yes,Neutral,9,Agree,Neutral,Agree,6.0,Neutral,Neutral,Agree
132.0,results-survey232.csv,95.19,Hotel B,25 – 34 years old,Female,Strongly Agree,Framing,Yes,Strongly Agree,Strongly Agree,Yes,Strongly Agree,4,Agree,Strongly Agree,Agree,6.0,Strongly Agree,Agree,Strongly Agree
145.0,results-survey232.csv,10.94,Hotel A,45 – 54 years old,Male,Neutral,Framing,No,Agree,Neutral,Yes,Agree,5,Agree,Strongly Agree,Neutral,6.0,Agree,Neutral,Strongly Agree
124.0,results-survey232.csv,48.36,Hotel B,18 – 24 years old,Male,Strongly Agree,Framing,Yes,Neutral,Agree,Yes,Strongly Agree,8,Agree,Agree,Agree,6.0,Agree,Agree,Agree
150.0,results-survey232.csv,34.8,Hotel B,45 – 54 years old,Male,Neutral,Framing,Yes,Agree,Agree,Yes,Agree,9,Agree,Agree,Agree,6.0,Agree,Agree,Agree
144.0,results-survey232.csv,44.23,Hotel A,35 – 44 years old,Male,Agree,Framing,No,Agree,Agree,Yes,Agree,10,Agree,Agree,Agree,6.0,Agree,Agree,Agree
127.0,results-survey231.csv,153.24,Hotel B,25 – 34 years old,Female,Strongly Agree,Framing,No,Strongly Agree,Strongly Agree,Yes,Strongly Agree,5,Agree,Strongly Agree,Strongly Agree,6.0,Strongly Agree,Strongly Agree,Strongly Agree
123.0,results-survey231.csv,139.94,Hotel A,18 – 24 years old,Female,Agree,Framing,Yes,Strongly Disagree,Neutral,Yes,Disagree,6,Disagree,Agree,Neutral,6.0,Disagree,Disagree,Agree
124.0,results-survey231.csv,21.08,Hotel A,45 – 54 years old,Female,Neutral,Framing,Yes,Disagree,Neutral,Yes,Agree,7,Neutral,Agree,Agree,6.0,Agree,Neutral,Neutral
133.0,results-survey231.csv,150.47,Hotel B,25 – 34 years old,Male,Strongly Agree,Framing,No,Strongly Agree,Strongly Agree,Yes,Agree,9,Strongly Agree,Strongly Agree,Agree,6.0,Agree,Strongly Agree,Strongly Agree
154.0,results-survey231.csv,66.66,Hotel A,45 – 54 years old,Female,Neutral,Framing,Yes,Agree,Neutral,Yes,Neutral,10,Neutral,Agree,Neutral,6.0,Neutral,Neutral,Agree
142.0,results-survey212.csv,44.63,Hotel B,35 – 44 years old,Male,Agree,Framing,Yes,Neutral,Agree,Yes,Strongly Agree,5,Agree,Neutral,Agree,6.0,Neutral,Agree,Agree
139.0,results-survey212.csv,39.23,Hotel A,35 – 44 years old,Female,Agree,Framing,No,Neutral,Neutral,Yes,Neutral,7,Neutral,Neutral,Neutral,6.0,Neutral,Neutral,Agree
138.0,results-survey212.csv,481.12,Hotel A,35 – 44 years old,Male,Neutral,Framing,No,Neutral,Neutral,Yes,Disagree,8,Neutral,Neutral,Neutral,6.0,Neutral,Disagree,Agree
120.0,results-survey212.csv,187.75,Hotel B,18 – 24 years old,Female,Agree,Framing,Yes,Strongly Agree,Agree,Yes,Agree,9,Agree,Neutral,Agree,6.0,Neutral,Agree,Agree
143.0,results-survey212.csv,96.02,Hotel B,35 – 44 years old,Male,Strongly Agree,Framing,Yes,Strongly Agree,Strongly Agree,Yes,Strongly Agree,10,Agree,Agree,Strongly Agree,6.0,Strongly Agree,Strongly Agree,Agree
126.0,results-survey211.csv,17.74,Hotel A,25 – 34 years old,Female,Strongly Agree,Framing,Yes,Agree,Strongly Agree,Yes,Strongly Agree,5,Strongly Agree,Strongly Agree,Strongly Agree,6.0,Strongly Agree,Strongly Agree,Agree
146.0,results-survey211.csv,35.31,Hotel A,45 – 54 years old,Male,Strongly Disagree,Framing,Yes,Strongly Disagree,Strongly Disagree,Yes,Strongly Disagree,6,Strongly Disagree,Strongly Disagree,Strongly Disagree,6.0,Strongly Disagree,Strongly Disagree,Strongly Disagree
158.0,results-survey211.csv,65.53,Hotel A,55 – 64 years old,Male,Agree,Framing,Yes,Agree,Agree,Yes,Agree,7,Agree,Agree,Agree,6.0,Agree,Agree,Agree
140.0,results-survey211.csv,44.36,Hotel A,35 – 44 years old,Female,Strongly Agree,Framing,Yes,Agree,Agree,Yes,Agree,8,Agree,Agree,Agree,6.0,Strongly Agree,Agree,Agree
121.0,results-survey211.csv,130.73,Hotel A,18 – 24 years old,Male,Agree,Framing,Yes,Neutral,Agree,Yes,Neutral,9,Agree,Agree,Agree,6.0,Agree,Agree,Agree
151.0,results-survey322.csv,27.23,Hotel A,45 – 54 years old,Female,Agree,Simplification,No,Agree,Neutral,Yes,Neutral,4,Neutral,Neutral,Agree,6.0,Neutral,Agree,Agree
126.0,results-survey322.csv,76.21,Hotel B,25 – 34 years old,Female,Agree,Simplification,Yes,Agree,Neutral,Yes,Agree,5,Neutral,Neutral,Agree,6.0,Agree,Agree,Agree
133.0,results-survey322.csv,45.67,Hotel B,25 – 34 years old,Female,Agree,Simplification,Yes,Neutral,Agree,Yes,Neutral,6,Neutral,Agree,Agree,6.0,Agree,Neutral,Neutral
142.0,results-survey322.csv,45.83,Hotel B,35 – 44 years old,Male,Strongly Agree,Simplification,Yes,Strongly Agree,Strongly Agree,Yes,Strongly Agree,7,Strongly Agree,Strongly Agree,Strongly Agree,6.0,Strongly Agree,Strongly Agree,Strongly Agree
128.0,results-survey322.csv,137.77,Hotel B,25 – 34 years old,Male,Strongly Agree,Simplification,Yes,Strongly Agree,Strongly Agree,Yes,Agree,8,Agree,Agree,Strongly Agree,6.0,Strongly Agree,Agree,Agree
139.0,results-survey321.csv,20.79,Hotel B,35 – 44 years old,Female,Disagree,Simplification,No,Disagree,Disagree,Yes,Disagree,4,Disagree,Disagree,Disagree,6.0,Disagree,Disagree,Agree
126.0,results-survey321.csv,99.43,Hotel B,25 – 34 years old,Female,Agree,Simplification,No,Neutral,Agree,Yes,Agree,5,Agree,Neutral,Agree,6.0,Agree,Agree,Agree
144.0,results-survey321.csv,67.02,Hotel A,35 – 44 years old,Male,Agree,Simplification,Yes,Agree,Agree,Yes,Agree,6,Agree,Agree,Agree,6.0,Agree,Agree,Agree
133.0,results-survey321.csv,157.71,Hotel B,25 – 34 years old,Female,Strongly Agree,Simplification,No,Strongly Agree,Agree,Yes,Agree,7,Strongly Agree,Agree,Agree,6.0,Strongly Agree,Strongly Agree,Agree
140.0,results-survey321.csv,135.43,Hotel B,35 – 44 years old,Male,Agree,Simplification,No,Neutral,Agree,Yes,Neutral,8,Agree,Neutral,Neutral,6.0,Agree,Neutral,Agree
125.0,results-survey331.csv,143.23,Hotel A,25 – 34 years old,Male,Strongly Agree,Simplification,Yes,Strongly Agree,Strongly Agree,Yes,Agree,4,Strongly Agree,Agree,Agree,6.0,Agree,Agree,Strongly Agree
128.0,results-survey331.csv,31.75,Hotel A,25 – 34 years old,Male,Agree,Simplification,Yes,Agree,Agree,Yes,Agree,5,Agree,Agree,Agree,6.0,Agree,Agree,Agree
146.0,results-survey331.csv,177.45,Hotel A,45 – 54 years old,Male,Neutral,Simplification,Yes,Agree,Agree,Yes,Agree,6,Agree,Agree,Agree,6.0,Neutral,Agree,Agree
127.0,results-survey331.csv,38.84,Hotel A,25 – 34 years old,Female,Agree,Simplification,Yes,Strongly Agree,Agree,Yes,Agree,7,Agree,Strongly Agree,Agree,6.0,Agree,Agree,Agree
147.0,results-survey331.csv,22.46,Hotel B,45 – 54 years old,Male,Disagree,Simplification,No,Disagree,Neutral,Yes,Disagree,8,Disagree,Neutral,Disagree,6.0,Neutral,Disagree,Disagree
141.0,results-survey332.csv,82.25,Hotel A,35 – 44 years old,Female,Strongly Agree,Simplification,No,Disagree,Strongly Agree,Yes,Disagree,4,Strongly Agree,Agree,Strongly Agree,6.0,Agree,Agree,Strongly Agree
128.0,results-survey332.csv,190.0,Hotel B,25 – 34 years old,Female,Strongly Agree,Simplification,Yes,Agree,Strongly Agree,Yes,Agree,5,Strongly Agree,Agree,Strongly Agree,6.0,Agree,Neutral,Strongly Agree
135.0,results-survey332.csv,255.21,Hotel B,35 – 44 years old,Male,Strongly Agree,Simplification,Yes,Agree,Agree,Yes,Strongly Agree,6,Agree,Agree,Agree,6.0,Neutral,Neutral,Agree
133.0,results-survey332.csv,23.27,Hotel B,25 – 34 years old,Male,Strongly Agree,Simplification,Yes,Agree,Agree,Yes,Agree,7,Agree,Agree,Strongly Agree,6.0,Agree,Agree,Agree
124.0,results-survey332.csv,13.02,Hotel A,18 – 24 years old,Female,Agree,Simplification,No,Agree,Strongly Agree,Yes,Agree,8,Agree,Agree,Agree,6.0,Agree,Agree,Neutral
134.0,results-survey311.csv,115.58,Hotel A,25 – 34 years old,Male,Agree,Simplification,Yes,Strongly Agree,Strongly Agree,Yes,Strongly Agree,5,Strongly Agree,Agree,Strongly Agree,6.0,Agree,Agree,Strongly Agree
152.0,results-survey311.csv,107.47,Hotel B,45 – 54 years old,Female,Neutral,Simplification,No,Disagree,Neutral,Yes,Disagree,6,Neutral,Neutral,Neutral,6.0,Neutral,Disagree,Neutral
128.0,results-survey311.csv,126.74,Hotel A,25 – 34 years old,Male,Strongly Agree,Simplification,Yes,Agree,Agree,Yes,Strongly Agree,7,Neutral,Agree,Agree,6.0,Strongly Agree,Agree,Agree
139.0,results-survey311.csv,185.82,Hotel A,35 – 44 years old,Female,Strongly Agree,Simplification,Yes,Neutral,Agree,Yes,Agree,8,Agree,Agree,Agree,6.0,Neutral,Neutral,Agree
137.0,results-survey311.csv,35.49,Hotel A,35 – 44 years old,Male,Neutral,Simplification,Yes,Neutral,Neutral,Yes,Disagree,9,Agree,Neutral,Neutral,6.0,Agree,Neutral,Agree
151.0,results-survey312.csv,237.52,Hotel A,45 – 54 years old,Female,Agree,Simplification,No,Neutral,Neutral,Yes,Disagree,8,Neutral,Neutral,Agree,6.0,Neutral,Neutral,Agree
140.0,results-survey312.csv,56.67,Hotel A,35 – 44 years old,Male,Agree,Simplification,No,Agree,Agree,Yes,Agree,10,Agree,Agree,Agree,6.0,Agree,Agree,Agree
152.0,results-survey312.csv,140.87,Hotel B,45 – 54 years old,Female,Agree,Simplification,Yes,Strongly Agree,Strongly Agree,Yes,Agree,11,Strongly Agree,Strongly Agree,Strongly Agree,6.0,Agree,Strongly Agree,Strongly Agree
134.0,results-survey312.csv,327.5,Hotel B,25 – 34 years old,Male,Agree,Simplification,Yes,Agree,Agree,Yes,Strongly Agree,13,Agree,Agree,Agree,6.0,Agree,Agree,Agree
132.0,results-survey312.csv,86.35,Hotel B,25 – 34 years old,Male,Strongly Agree,Simplification,Yes,Strongly Agree,Strongly Agree,Yes,Agree,15,Strongly Agree,Agree,Agree,6.0,Strongly Agree,Strongly Agree,Strongly Agree
156.0,results-survey421.csv,18.51,Hotel A,55 – 64 years old,Male,Strongly Agree,ExternalInformation,Yes,Strongly Agree,Strongly Agree,Yes,Strongly Agree,5,Strongly Agree,Strongly Agree,Strongly Agree,6.0,Strongly Agree,Strongly Agree,Strongly Agree
129.0,results-survey421.csv,34.55,Hotel A,25 – 34 years old,Female,Disagree,ExternalInformation,Yes,Neutral,Neutral,Yes,Agree,6,Disagree,Agree,Agree,6.0,Neutral,Agree,Agree
133.0,results-survey421.csv,74.31,Hotel B,25 – 34 years old,Male,Neutral,ExternalInformation,No,Agree,Strongly Agree,Yes,Agree,7,Agree,Neutral,Agree,6.0,Disagree,Disagree,Agree
122.0,results-survey421.csv,51.53,Hotel A,18 – 24 years old,Female,Agree,ExternalInformation,Yes,Agree,Agree,Yes,Agree,8,Agree,Agree,Agree,6.0,Agree,Agree,Agree
133.0,results-survey421.csv,13.58,Hotel A,25 – 34 years old,Female,Agree,ExternalInformation,Yes,Agree,Agree,Yes,Agree,10,Agree,Agree,Agree,6.0,Agree,Agree,Agree
150.0,results-survey422.csv,132.61,Hotel B,45 – 54 years old,Male,Agree,ExternalInformation,Yes,Agree,Strongly Agree,Yes,Agree,5,Neutral,Agree,Agree,6.0,Neutral,Agree,Agree
149.0,results-survey422.csv,73.62,Hotel A,45 – 54 years old,Female,Neutral,ExternalInformation,No,Disagree,Agree,Yes,Neutral,6,Neutral,Neutral,Neutral,6.0,Neutral,Agree,Disagree
163.0,results-survey422.csv,71.35,Hotel B,55 – 64 years old,Male,Strongly Agree,ExternalInformation,Yes,Strongly Agree,Agree,Yes,Strongly Agree,7,Strongly Agree,Agree,Strongly Agree,6.0,Strongly Agree,Strongly Agree,Strongly Agree
136.0,results-survey422.csv,74.52,Hotel A,35 – 44 years old,Female,Neutral,ExternalInformation,No,Disagree,Agree,Yes,Neutral,8,Disagree,Neutral,Disagree,6.0,Neutral,Disagree,Agree
133.0,results-survey422.csv,111.03,Hotel A,25 – 34 years old,Female,Agree,ExternalInformation,No,Neutral,Agree,Yes,Strongly Agree,9,Strongly Agree,Strongly Agree,Strongly Agree,6.0,Agree,Agree,Agree
135.0,results-survey432.csv,637.0,Hotel A,25 – 34 years old,Female,Strongly Agree,ExternalInformation,No,Agree,Agree,Yes,Agree,4,Agree,Strongly Agree,Agree,6.0,Neutral,Neutral,Agree
132.0,results-survey432.csv,49.33,Hotel B,25 – 34 years old,Male,Neutral,ExternalInformation,Yes,Agree,Agree,Yes,Neutral,5,Agree,Neutral,Agree,6.0,Agree,Neutral,Agree
122.0,results-survey432.csv,61.4,Hotel B,18 – 24 years old,Female,Agree,ExternalInformation,Yes,Agree,Agree,Yes,Agree,6,Agree,Agree,Agree,6.0,Agree,Agree,Agree
154.0,results-survey432.csv,81.4,Hotel B,45 – 54 years old,Female,Neutral,ExternalInformation,Yes,Disagree,Agree,Yes,Agree,7,Agree,Agree,Strongly Agree,6.0,Agree,Agree,Disagree
142.0,results-survey432.csv,16.36,Hotel A,35 – 44 years old,Female,Neutral,ExternalInformation,No,Strongly Agree,Neutral,Yes,Agree,8,Strongly Agree,Strongly Agree,Agree,6.0,Strongly Agree,Strongly Agree,Agree
131.0,results-survey431.csv,127.02,Hotel A,25 – 34 years old,Female,Strongly Agree,ExternalInformation,Yes,Strongly Agree,Strongly Agree,Yes,Strongly Agree,4,Strongly Agree,Strongly Agree,Strongly Agree,6.0,Strongly Agree,Strongly Agree,Strongly Agree
122.0,results-survey431.csv,142.61,Hotel A,18 – 24 years old,Female,Agree,ExternalInformation,Yes,Strongly Agree,Strongly Agree,Yes,Strongly Agree,5,Strongly Agree,Strongly Agree,Strongly Agree,6.0,Agree,Strongly Agree,Strongly Agree
127.0,results-survey431.csv,16.23,Hotel A,25 – 34 years old,Male,Strongly Agree,ExternalInformation,Yes,Agree,Strongly Agree,Yes,Agree,6,Strongly Agree,Strongly Agree,Agree,6.0,Strongly Agree,Agree,Strongly Agree
127.0,results-survey431.csv,177.55,Hotel A,25 – 34 years old,Female,Agree,ExternalInformation,Yes,Strongly Agree,Agree,Yes,Neutral,7,Strongly Agree,Strongly Agree,Agree,6.0,Agree,Agree,Agree
138.0,results-survey431.csv,131.4,Hotel A,35 – 44 years old,Female,Strongly Agree,ExternalInformation,Yes,Strongly Agree,Strongly Agree,Yes,Strongly Agree,8,Agree,Strongly Agree,Agree,6.0,Agree,Strongly Agree,Strongly Agree
129.0,results-survey412.csv,25.93,Hotel B,25 – 34 years old,Male,Neutral,ExternalInformation,Yes,Agree,Agree,Yes,Strongly Agree,5,Agree,Agree,Neutral,6.0,Agree,Strongly Agree,Strongly Agree
152.0,results-survey412.csv,71.85,Hotel B,45 – 54 years old,Female,Agree,ExternalInformation,Yes,Agree,Agree,Yes,Agree,6,Neutral,Agree,Neutral,6.0,Agree,Agree,Agree
134.0,results-survey412.csv,79.49,Hotel B,25 – 34 years old,Male,Agree,ExternalInformation,Yes,Agree,Agree,Yes,Strongly Agree,8,Strongly Agree,Agree,Neutral,6.0,Agree,Strongly Agree,Neutral
133.0,results-survey412.csv,34.61,Hotel A,25 – 34 years old,Male,Strongly Agree,ExternalInformation,No,Agree,Agree,Yes,Agree,9,Agree,Agree,Agree,6.0,Agree,Strongly Agree,Agree
122.0,results-survey412.csv,73.75,Hotel A,18 – 24 years old,Female,Agree,ExternalInformation,No,Neutral,Neutral,Yes,Neutral,10,Agree,Agree,Agree,6.0,Agree,Agree,Neutral
143.0,results-survey411.csv,37.72,Hotel A,35 – 44 years old,Female,Neutral,ExternalInformation,Yes,Agree,Neutral,Yes,Agree,5,Agree,Agree,Neutral,6.0,Agree,Neutral,Strongly Agree
137.0,results-survey411.csv,113.02,Hotel A,35 – 44 years old,Male,Strongly Agree,ExternalInformation,Yes,Strongly Agree,Strongly Agree,Yes,Strongly Agree,6,Strongly Agree,Strongly Agree,Strongly Agree,6.0,Agree,Strongly Agree,Strongly Agree
135.0,results-survey411.csv,238.18,Hotel A,45 – 54 years old,Male,Agree,ExternalInformation,Yes,Agree,Strongly Agree,Yes,Agree,7,Agree,Strongly Agree,Agree,6.0,Strongly Agree,Strongly Agree,Agree
139.0,results-survey411.csv,115.05,Hotel A,35 – 44 years old,Male,Agree,ExternalInformation,Yes,Agree,Agree,Yes,Agree,10,Agree,Agree,Agree,6.0,Agree,Agree,Agree
130.0,results-survey411.csv,68.25,Hotel A,25 – 34 years old,Female,Strongly Agree,ExternalInformation,Yes,Strongly Agree,Strongly Agree,Yes,Strongly Agree,11,Strongly Agree,Strongly Agree,Strongly Agree,6.0,Strongly Agree,Strongly Agree,Strongly Agree
